Município;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;Total
351930 Ibaté;17;20;7;22;18;18;13;19;17;15;22;17;23;21;23;18;21;25;19;355
351940 Ibirá;4;6;3;3;4;2;5;5;9;5;3;3;4;8;6;11;1;3;9;94
351950 Ibirarema;8;5;3;4;3;4;7;3;2;1;2;1;5;3;2;1;1;2;4;61
351960 Ibitinga;24;20;27;28;16;29;28;18;26;25;19;17;30;18;25;21;30;34;35;470
351970 Ibiúna;63;66;62;59;67;64;62;73;76;78;76;65;74;67;81;65;60;68;61;1287
351980 Icém;2;9;4;3;3;6;10;3;3;2;5;10;4;3;8;7;5;8;7;102
351990 Iepê;4;5;3;3;6;4;1;2;2;2;3;3;5;1;2;3;3;6;6;64
352000 Igaraçu do Tietê;13;16;13;15;10;13;17;15;21;17;9;11;14;15;17;20;16;16;19;287
352010 Igarapava;14;14;29;17;11;8;12;7;11;18;17;6;12;22;16;12;9;12;11;258
352020 Igaratá;5;11;14;7;5;8;7;12;11;6;9;2;4;7;5;10;7;6;6;142
352030 Iguape;23;23;21;27;20;22;26;28;18;32;20;8;16;23;19;14;24;17;15;396
352042 Ilha Comprida;2;8;3;7;5;5;10;4;8;8;8;8;3;4;7;10;11;9;11;131
352044 Ilha Solteira;15;10;11;6;8;9;10;9;4;9;10;11;9;15;13;17;12;19;19;216
352040 Ilhabela;15;13;13;16;11;11;21;19;17;18;19;12;18;16;8;18;18;21;18;302
352050 Indaiatuba;80;87;83;106;95;107;89;113;94;116;79;109;108;90;100;99;76;93;93;1817
352060 Indiana;4;1;5;5;1;7;3;4;3;5;3;2;3;3;1;3;4;3;3;63
352070 Indiaporã;4;-;3;3;4;1;2;2;3;2;5;-;2;1;2;3;-;1;5;43
352080 Inúbia Paulista;1;1;1;-;2;1;3;1;3;2;1;1;1;2;6;1;4;-;-;31
352090 Ipaussu;9;11;7;16;8;11;17;5;6;9;6;7;9;14;6;7;11;6;11;176
352100 Iperó;13;13;16;15;15;13;6;13;18;20;13;20;13;12;20;23;14;14;21;292
352110 Ipeúna;3;3;4;4;6;1;3;2;5;5;7;2;6;3;7;4;1;2;2;70
352115 Ipiguá;-;2;-;2;6;1;5;2;2;2;4;4;2;7;2;5;4;3;4;57
352120 Iporanga;3;2;3;2;8;3;2;2;2;3;1;3;1;5;1;1;3;3;3;51
352130 Ipuã;8;6;3;7;11;3;4;9;8;5;9;6;5;8;7;6;5;4;5;119
