Município;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;Total
354890 São Carlos;142;120;106;116;111;129;110;113;111;107;90;148;106;117;116;123;160;137;139;2301
354900 São Francisco;2;2;-;1;-;1;1;2;2;2;3;-;3;-;2;2;4;1;3;31
354910 São João da Boa Vista;39;40;38;48;67;48;50;39;38;47;48;54;45;50;43;41;37;57;54;883
354920 São João das Duas Pontes;1;-;1;-;3;1;3;4;1;3;1;2;1;2;1;2;1;-;2;29
354925 São João de Iracema;-;-;1;-;-;-;-;1;-;4;-;2;2;-;2;-;3;1;1;17
354930 São João do Pau d'Alho;1;-;1;-;-;-;-;-;-;2;2;-;1;2;1;1;-;3;1;15
354940 São Joaquim da Barra;19;21;22;24;27;22;20;21;31;25;28;17;18;17;23;19;27;15;17;413
354950 São José da Bela Vista;3;-;3;2;7;4;3;9;3;6;3;3;5;7;10;5;1;2;5;81
354960 São José do Barreiro;1;1;1;1;2;1;3;7;4;4;2;1;2;3;2;4;-;2;2;43
354970 São José do Rio Pardo;31;26;28;25;29;28;29;26;29;28;31;21;19;22;28;27;27;28;25;507
354980 São José do Rio Preto;235;199;207;221;259;255;250;254;215;254;198;211;195;200;243;256;268;250;263;4433
354990 São José dos Campos;571;541;571;537;561;577;496;464;426;334;360;330;321;326;319;347;357;292;352;8082
354995 São Lourenço da Serra;18;30;18;13;20;8;8;13;14;11;21;12;15;10;13;11;13;7;17;272
355000 São Luís do Paraitinga;13;13;8;6;4;1;8;7;7;7;9;2;1;6;3;11;7;5;6;124
355010 São Manuel;28;28;23;24;24;19;30;24;19;19;22;18;30;16;25;25;30;27;25;456
355020 São Miguel Arcanjo;15;18;13;12;16;23;26;14;18;16;20;17;21;12;8;19;23;20;24;335
355030 São Paulo;11208;10582;10391;11099;10315;10262;9907;8905;8059;7119;6920;6601;6251;6216;6417;6220;6568;6183;6466;155689
355040 São Pedro;16;17;14;32;12;25;31;20;24;19;26;20;19;15;18;20;18;26;21;393
355050 São Pedro do Turvo;3;7;7;7;1;2;3;4;5;3;5;1;1;1;2;2;3;4;6;67
355060 São Roque;57;43;76;53;58;52;58;42;62;45;56;49;46;59;44;57;50;63;56;1026
355070 São Sebastião;61;52;72;71;55;86;82;88;76;64;68;69;62;52;58;49;53;64;70;1252
355080 São Sebastião da Grama;10;13;2;9;11;5;6;6;7;9;4;3;5;8;10;7;8;10;4;137
355090 São Simão;12;13;11;8;14;16;13;7;9;6;7;8;10;4;5;7;8;9;9;176
355100 São Vicente;322;334;333;366;324;318;335;231;251;213;201;175;184;208;196;203;212;193;208;4807
355110 Sarapuí;3;3;5;3;3;3;2;6;5;7;11;5;10;4;6;18;7;6;9;116
355120 Sarutaiá;1;5;1;4;1;-;5;2;2;2;3;1;2;2;5;1;3;-;2;42
355130 Sebastianópolis do Sul;5;4;-;-;3;2;4;-;2;1;3;1;2;1;-;2;-;2;4;36
355140 Serra Azul;7;8;4;5;9;2;9;3;6;9;3;5;9;14;13;10;4;6;12;138
355160 Serra Negra;10;16;11;14;15;14;21;22;21;12;11;10;19;15;16;21;10;10;9;277
355150 Serrana;29;29;25;21;18;26;20;22;19;25;30;14;14;21;20;16;23;19;27;418
355170 Sertãozinho;67;76;57;61;68;85;83;64;53;60;45;53;62;45;57;62;51;73;73;1195
355180 Sete Barras;16;9;11;14;11;19;13;6;11;16;13;3;14;11;6;7;9;9;12;210
355190 Severínia;9;10;8;11;7;4;13;8;13;7;8;7;11;11;7;8;9;7;8;166
355200 Silveiras;3;3;2;6;3;5;2;1;2;2;5;1;2;5;1;4;3;1;2;53
355210 Socorro;18;27;18;22;19;22;25;19;19;19;20;16;21;19;24;25;16;19;19;387
355220 Sorocaba;307;295;354;349;344;369;378;370;348;372;373;313;336;310;358;322;330;373;375;6576
355230 Sud Mennucci;8;2;2;2;2;5;3;2;9;1;7;2;6;6;3;6;2;6;4;78
355240 Sumaré;168;211;191;213;208;216;178;195;183;154;121;146;122;163;142;155;144;160;155;3225
355255 Suzanápolis;1;2;-;3;-;3;1;4;1;-;2;1;6;2;3;3;4;-;2;38
355250 Suzano;200;227;209;207;190;209;213;224;197;188;215;175;186;217;166;149;160;145;156;3633
355260 Tabapuã;9;3;6;6;6;5;4;3;9;12;5;5;9;9;10;10;10;10;7;138
355270 Tabatinga;11;11;4;14;10;5;26;8;9;16;8;2;9;12;10;5;11;9;8;188
355280 Taboão da Serra;287;238;223;276;258;298;270;282;206;196;170;149;154;165;141;149;176;146;152;3936
355290 Taciba;3;1;3;3;1;3;4;2;5;3;4;1;-;1;4;5;1;1;2;47
355300 Taguaí;3;1;7;5;4;5;5;4;4;1;1;3;5;2;7;6;7;5;5;80
355310 Taiaçu;3;6;5;3;2;3;-;1;3;1;2;1;3;6;-;9;7;1;3;59
355320 Taiúva;1;2;8;4;5;4;2;5;7;4;-;4;5;6;5;4;3;1;6;76
355330 Tambaú;12;9;11;19;10;16;14;16;13;13;14;13;10;17;11;12;10;9;11;240
355340 Tanabi;16;8;17;16;7;11;11;17;14;8;18;10;14;23;16;16;17;21;19;279
355350 Tapiraí;7;8;9;4;6;8;8;8;10;5;8;4;7;7;6;12;4;3;7;131
355360 Tapiratiba;4;6;8;6;4;6;8;7;1;10;2;6;11;3;6;11;2;7;6;114
355365 Taquaral;-;1;-;4;3;-;1;-;13;2;4;2;1;3;1;1;4;2;3;45
355370 Taquaritinga;39;23;29;25;20;25;32;28;40;26;29;20;31;36;25;34;29;23;36;550
355380 Taquarituba;15;11;18;13;13;10;16;23;19;18;9;12;12;9;8;10;22;18;22;278
355385 Taquarivaí;4;4;4;1;2;3;5;6;2;1;3;5;2;5;4;4;2;3;2;62
355390 Tarabai;4;2;6;4;8;3;2;4;4;3;2;4;5;8;2;3;7;4;6;81
355395 Tarumã;10;4;8;6;3;5;6;6;7;4;10;5;7;8;11;5;5;5;7;122
355400 Tatuí;64;76;53;54;68;80;63;93;87;95;75;70;69;63;55;55;69;79;72;1340
355410 Taubaté;168;211;173;168;170;150;180;169;202;186;177;153;165;149;139;169;182;152;153;3216
355420 Tejupá;2;1;2;1;1;2;2;3;6;4;3;6;2;3;2;6;2;-;1;49
355430 Teodoro Sampaio;19;13;17;19;20;13;14;9;8;13;9;20;7;15;17;16;11;11;12;263
355440 Terra Roxa;4;1;4;4;2;1;3;4;3;4;6;3;1;4;5;2;6;2;4;63
355450 Tietê;23;23;10;20;19;16;17;20;22;23;30;24;13;22;24;22;26;20;10;384
355460 Timburi;3;2;2;2;4;3;-;2;-;2;1;-;2;1;-;1;-;3;2;30
355465 Torre de Pedra;-;1;-;2;1;2;2;2;3;4;1;-;4;2;2;-;1;-;3;30
355470 Torrinha;4;2;6;1;2;3;7;3;1;5;3;5;12;8;9;8;3;2;6;90
355475 Trabiju;-;1;-;-;-;-;1;-;2;-;-;1;-;1;-;-;1;1;-;8
355480 Tremembé;18;19;19;21;21;25;16;29;22;20;18;15;23;12;27;26;22;19;28;400
355490 Três Fronteiras;7;1;2;2;3;2;3;1;5;5;3;3;6;2;4;5;2;8;10;74
355495 Tuiuti;4;1;-;1;2;2;3;4;4;3;2;4;7;5;4;8;6;6;2;68
355500 Tupã;44;46;45;33;38;37;43;49;43;36;33;29;48;46;43;38;31;34;45;761
355510 Tupi Paulista;5;6;6;3;8;10;4;6;6;5;4;9;8;10;5;9;14;12;5;135
355520 Turiúba;1;2;1;2;-;2;4;-;-;1;1;3;-;-;3;3;1;1;1;26
355530 Turmalina;2;1;3;2;-;-;2;-;2;1;1;-;1;2;2;2;1;2;2;26
355535 Ubarana;2;1;-;2;4;2;3;3;3;2;2;4;3;4;2;2;4;4;1;48
355540 Ubatuba;71;66;62;52;80;60;74;70;57;53;67;68;42;68;39;61;59;49;49;1147
355550 Ubirajara;2;-;-;2;2;1;5;2;2;2;2;2;2;4;3;3;2;3;3;42
355560 Uchoa;3;3;3;7;3;2;7;3;5;4;14;4;3;4;5;3;6;7;11;97
355570 União Paulista;1;2;1;-;-;-;-;-;-;-;1;-;1;1;-;1;3;-;-;11
355580 Urânia;5;4;8;10;5;7;2;5;9;9;6;2;3;8;10;8;3;4;3;111
355590 Uru;-;-;-;1;-;-;1;-;1;1;-;1;1;-;1;1;-;2;-;10
355600 Urupês;9;10;8;6;6;6;7;9;2;7;10;11;8;8;8;13;9;5;12;154
355610 Valentim Gentil;9;6;4;5;4;6;4;5;9;8;7;4;9;6;5;12;10;8;14;135
355620 Valinhos;42;49;50;47;39;45;55;52;49;41;33;43;48;42;31;34;46;38;32;816
355630 Valparaíso;9;5;8;8;8;15;15;12;12;11;7;11;4;17;13;16;9;13;16;209
355635 Vargem;5;7;4;9;6;-;7;4;6;2;7;4;1;9;4;10;7;9;8;109
355640 Vargem Grande do Sul;21;24;19;18;25;23;23;23;20;19;32;15;19;13;19;22;18;13;19;385
355645 Vargem Grande Paulista;28;23;30;26;34;33;30;42;23;44;10;19;21;12;29;21;17;22;19;483
355650 Várzea Paulista;65;66;63;49;64;69;58;79;63;49;51;36;51;55;63;40;55;56;55;1087
355660 Vera Cruz;10;8;10;7;11;9;7;9;2;7;6;9;9;5;7;5;9;8;5;143
355670 Vinhedo;30;29;18;21;30;18;22;31;31;28;20;31;27;21;21;30;32;25;25;490
355680 Viradouro;6;5;7;9;16;12;15;10;9;6;7;7;12;13;12;11;13;12;7;189
355690 Vista Alegre do Alto;9;2;6;5;1;2;3;1;4;2;6;2;1;5;3;2;3;7;3;67
355695 Vitória Brasil;-;3;1;1;1;2;1;1;1;3;-;-;-;3;1;2;1;1;2;24
355700 Votorantim;65;58;66;59;49;63;80;62;82;70;50;75;58;53;55;66;73;55;56;1195
355710 Votuporanga;51;49;39;53;40;49;38;55;36;39;41;34;45;61;61;53;78;69;55;946
355715 Zacarias;1;1;1;1;-;1;-;-;1;2;1;-;-;1;1;3;2;3;2;21
350000 Município ignorado - SP;17;47;27;30;1608;1575;637;1289;1066;1011;313;250;290;404;356;380;397;371;387;10455
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;
